FUNCTION;Process;Function;Invocations;Excl. Time (s);Incl. Time (s)
FUNCTION;Process 0(2);4096_4096_100000;1;2.90611219;2.90611219
FUNCTION;Process 0(2);8192_1_100000;1;0.279237134;0.279237134
FUNCTION;Process 0(2);8192_2_100000;1;0.279115707;0.279115707
FUNCTION;Process 0(2);8192_4_100000;1;0.278945398;0.278945398
FUNCTION;Process 0(2);8192_8_100000;1;0.279564607;0.279564607
FUNCTION;Process 0(2);8192_16_100000;1;0.279438952;0.279438952
FUNCTION;Process 0(2);8192_32_100000;1;0.2795774;0.2795774
FUNCTION;Process 0(2);8192_64_100000;1;0.280446077;0.280446077
FUNCTION;Process 0(2);8192_128_100000;1;0.280110333;0.280110333
FUNCTION;Process 0(2);8192_256_100000;1;0.284087848;0.284087848
FUNCTION;Process 0(2);8192_512_100000;1;0.441309524;0.441309524
FUNCTION;Process 0(2);8192_1024_100000;1;0.796731903;0.796731903
FUNCTION;Process 0(2);8192_2048_100000;1;1.43778368;1.43778368
FUNCTION;Process 0(2);8192_4096_100000;1;2.92978984;2.92978984
FUNCTION;Process 0(2);16384_1_100000;1;1.12936796;1.12936796
FUNCTION;Process 0(2);16384_2_100000;1;1.13238365;1.13238365
FUNCTION;Process 0(2);16384_4_100000;1;1.13908538;1.13908538
FUNCTION;Process 0(2);16384_8_100000;1;1.15305952;1.15305952
FUNCTION;Process 0(2);16384_16_100000;1;1.17647936;1.17647936
FUNCTION;Process 0(2);16384_32_100000;1;1.18640504;1.18640504
FUNCTION;Process 0(2);16384_64_100000;1;1.20848258;1.20848258
FUNCTION;Process 0(2);16384_128_100000;1;1.25346825;1.25346825
FUNCTION;Process 0(2);16384_256_100000;1;1.35314099;1.35314099
FUNCTION;Process 0(2);16384_512_100000;1;1.40312455;1.40312455
FUNCTION;Process 0(2);16384_1024_100000;1;1.77526395;1.77526395
FUNCTION;Process 0(2);16384_2048_100000;1;2.48483866;2.48483866
FUNCTION;Process 0(2);16384_4096_100000;1;3.76610241;3.76610241
FUNCTION;Process 0(2);32768_1_100000;1;1.76254391;1.76254391
FUNCTION;Process 0(2);32768_2_100000;1;1.73080112;1.73080112
FUNCTION;Process 0(2);32768_4_100000;1;1.73771385;1.73771385
FUNCTION;Process 0(2);32768_8_100000;1;1.75438066;1.75438066
FUNCTION;Process 0(2);32768_16_100000;1;1.77939196;1.77939196
FUNCTION;Process 0(2);32768_32_100000;1;1.81818913;1.81818913
FUNCTION;Process 0(2);32768_64_100000;1;1.8420068;1.8420068
FUNCTION;Process 0(2);32768_128_100000;1;1.88707903;1.88707903
FUNCTION;Process 0(2);32768_256_100000;1;1.97205746;1.97205746
FUNCTION;Process 0(2);32768_512_100000;1;2.17392898;2.17392898
FUNCTION;Process 0(2);32768_1024_100000;1;2.27548982;2.27548982
FUNCTION;Process 0(2);32768_2048_100000;1;3.0201418;3.0201418
FUNCTION;Process 0(2);32768_4096_100000;1;4.44125284;4.44125284
FUNCTION;Process 0(2);65536_1_100000;1;3.02219632;3.02219632
FUNCTION;Process 0(2);65536_2_100000;1;2.99673392;2.99673392
FUNCTION;Process 0(2);65536_4_100000;1;2.93716214;2.93716214
FUNCTION;Process 0(2);65536_8_100000;1;2.94805659;2.94805659
FUNCTION;Process 0(2);65536_16_100000;1;2.97645938;2.97645938
FUNCTION;Process 0(2);65536_32_100000;1;3.03566206;3.03566206
FUNCTION;Process 0(2);65536_64_100000;1;3.10244056;3.10244056
FUNCTION;Process 0(2);65536_128_100000;1;3.157046;3.157046
FUNCTION;Process 0(2);65536_256_100000;1;3.2420848;3.2420848
FUNCTION;Process 0(2);65536_512_100000;1;3.40737247;3.40737247
FUNCTION;Process 0(2);65536_1024_100000;1;3.81313387;3.81313387
FUNCTION;Process 0(2);65536_2048_100000;1;4.01835001;4.01835001
FUNCTION;Process 0(2);65536_4096_100000;1;5.50431519;5.50431519
FUNCTION;Process 0(2);131072_1_100000;1;5.64787932;5.64787932
FUNCTION;Process 0(2);131072_2_100000;1;5.60067756;5.60067756
FUNCTION;Process 0(2);131072_4_100000;1;5.4797326;5.4797326
FUNCTION;Process 0(2);131072_8_100000;1;5.33797961;5.33797961
FUNCTION;Process 0(2);131072_16_100000;1;5.38151348;5.38151348
FUNCTION;Process 0(2);131072_32_100000;1;5.45769245;5.45769245
FUNCTION;Process 0(2);131072_64_100000;1;5.61271578;5.61271578
FUNCTION;Process 0(2);131072_128_100000;1;5.68678352;5.68678352
FUNCTION;Process 0(2);131072_256_100000;1;5.80573825;5.80573825
FUNCTION;Process 0(2);131072_512_100000;1;5.95906238;5.95906238
FUNCTION;Process 0(2);131072_1024_100000;1;6.29775365;6.29775365
FUNCTION;Process 0(2);131072_2048_100000;1;7.1106314;7.1106314
FUNCTION;Process 0(2);131072_4096_100000;1;7.51190787;7.51190787
FUNCTION;Process 0(2);262144_1_100000;1;10.829923;10.829923
FUNCTION;Process 0(2);262144_2_100000;1;10.7922455;10.7922455
FUNCTION;Process 0(2);262144_4_100000;1;10.6946293;10.6946293
FUNCTION;Process 0(2);262144_8_100000;1;10.513477;10.513477
FUNCTION;Process 0(2);262144_16_100000;1;10.1567294;10.1567294
FUNCTION;Process 0(2);262144_32_100000;1;10.2355297;10.2355297
FUNCTION;Process 0(2);262144_64_100000;1;10.3895227;10.3895227
FUNCTION;Process 0(2);262144_128_100000;1;10.7048428;10.7048428
FUNCTION;Process 0(2);262144_256_100000;1;10.8573972;10.8573972
FUNCTION;Process 0(2);262144_512_100000;1;11.1487087;11.1487087
FUNCTION;Process 0(2);262144_1024_100000;1;11.5287952;11.5287952
FUNCTION;Process 0(2);262144_2048_100000;1;12.2735085;12.2735085
FUNCTION;Process 0(2);262144_4096_100000;1;13.9792458;13.9792458
FUNCTION;Process 0(2);524288_1_100000;1;20.717279;20.717279
FUNCTION;Process 0(2);524288_2_100000;1;20.708772;20.708772
FUNCTION;Process 0(2);524288_4_100000;1;20.6833858;20.6833858
FUNCTION;Process 0(2);524288_8_100000;1;20.6344478;20.6344478
FUNCTION;Process 0(2);524288_16_100000;1;20.4544702;20.4544702
FUNCTION;Process 0(2);524288_32_100000;1;19.7879366;19.7879366
FUNCTION;Process 0(2);524288_64_100000;1;19.9598591;19.9598591
FUNCTION;Process 0(2);524288_128_100000;1;20.2549962;20.2549962
FUNCTION;Process 0(2);524288_256_100000;1;20.8900597;20.8900597
FUNCTION;Process 0(2);524288_512_100000;1;21.3346969;21.3346969
FUNCTION;Process 0(2);524288_1024_100000;1;21.9361081;21.9361081
FUNCTION;Process 0(2);524288_2048_100000;1;22.8216749;22.8216749
FUNCTION;Process 0(2);524288_4096_100000;1;24.2788825;24.2788825
FUNCTION;Process 0(2);1048576_1_100000;1;45.7607422;45.7607422
FUNCTION;Process 0(2);1048576_2_100000;1;40.9131829;40.9131829
FUNCTION;Process 0(2);1048576_4_100000;1;40.8906462;40.8906462
FUNCTION;Process 0(2);1048576_8_100000;1;40.8322972;40.8322972
FUNCTION;Process 0(2);1048576_16_100000;1;40.7201371;40.7201371
FUNCTION;Process 0(2);1048576_32_100000;1;40.418806;40.418806
FUNCTION;Process 0(2);1048576_64_100000;1;39.1176969;39.1176969
FUNCTION;Process 0(2);1048576_128_100000;1;39.4179886;39.4179886
FUNCTION;Process 0(2);1048576_256_100000;1;40.010587;40.010587
FUNCTION;Process 0(2);1048576_512_100000;1;41.2839011;41.2839011
FUNCTION;Process 0(2);1048576_1024_100000;1;42.4712633;42.4712633
FUNCTION;Process 0(2);1048576_2048_100000;1;43.6685961;43.6685961
FUNCTION;Process 0(2);1048576_4096_100000;1;45.5583485;45.5583485

COUNTER;Process;Function;Counter;Excl. Rate;Incl. Rate
COUNTER;Process 0(1);4096_1_100000;PAPI_FP_INS;441778.571;441778.571
COUNTER;Process 0(1);4096_1_100000;PAPI_TOT_INS;4.25690876e+09;4.25690876e+09
COUNTER;Process 0(1);4096_1_100000;PAPI_L3_TCM;870.470327;870.470327
COUNTER;Process 0(1);4096_1_100000;PP0_ENERGY:PACKAGE0;1.64123536e+10;1.64123536e+10
COUNTER;Process 0(1);4096_1_100000;DRAM_ENERGY:PACKAGE0;5.71026369e+09;5.71026369e+09
COUNTER;Process 0(1);4096_2_100000;PAPI_FP_INS;811976.615;811976.615
COUNTER;Process 0(1);4096_2_100000;PAPI_TOT_INS;3.66088123e+09;3.66088123e+09
COUNTER;Process 0(1);4096_2_100000;PAPI_L3_TCM;13.5619888;13.5619888
COUNTER;Process 0(1);4096_2_100000;PP0_ENERGY:PACKAGE0;1.69370691e+10;1.69370691e+10
COUNTER;Process 0(1);4096_2_100000;DRAM_ENERGY:PACKAGE0;6.06612183e+09;6.06612183e+09
COUNTER;Process 0(1);4096_4_100000;PAPI_FP_INS;813717.269;813717.269
COUNTER;Process 0(1);4096_4_100000;PAPI_TOT_INS;3.65906393e+09;3.65906393e+09
COUNTER;Process 0(1);4096_4_100000;PAPI_L3_TCM;6.79076727;6.79076727
COUNTER;Process 0(1);4096_4_100000;PP0_ENERGY:PACKAGE0;1.69682142e+10;1.69682142e+10
COUNTER;Process 0(1);4096_4_100000;DRAM_ENERGY:PACKAGE0;6.51731702e+09;6.51731702e+09
COUNTER;Process 0(1);4096_8_100000;PAPI_FP_INS;810126.487;810126.487
COUNTER;Process 0(1);4096_8_100000;PAPI_TOT_INS;3.66096514e+09;3.66096514e+09
COUNTER;Process 0(1);4096_8_100000;PAPI_L3_TCM;13.5867992;13.5867992
COUNTER;Process 0(1);4096_8_100000;PP0_ENERGY:PACKAGE0;1.69769684e+10;1.69769684e+10
COUNTER;Process 0(1);4096_8_100000;DRAM_ENERGY:PACKAGE0;5.97584065e+09;5.97584065e+09
COUNTER;Process 0(1);4096_16_100000;PAPI_FP_INS;810626.371;810626.371
COUNTER;Process 0(1);4096_16_100000;PAPI_TOT_INS;3.66557267e+09;3.66557267e+09
COUNTER;Process 0(1);4096_16_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);4096_16_100000;PP0_ENERGY:PACKAGE0;1.69277815e+10;1.69277815e+10
COUNTER;Process 0(1);4096_16_100000;DRAM_ENERGY:PACKAGE0;5.90710497e+09;5.90710497e+09
COUNTER;Process 0(1);4096_32_100000;PAPI_FP_INS;813142.827;813142.827
COUNTER;Process 0(1);4096_32_100000;PAPI_TOT_INS;3.66425513e+09;3.66425513e+09
COUNTER;Process 0(1);4096_32_100000;PAPI_L3_TCM;6.7936272;6.7936272
COUNTER;Process 0(1);4096_32_100000;PP0_ENERGY:PACKAGE0;1.69858303e+10;1.69858303e+10
COUNTER;Process 0(1);4096_32_100000;DRAM_ENERGY:PACKAGE0;5.9439055e+09;5.9439055e+09
COUNTER;Process 0(1);4096_64_100000;PAPI_FP_INS;806206.932;806206.932
COUNTER;Process 0(1);4096_64_100000;PAPI_TOT_INS;3.66968006e+09;3.66968006e+09
COUNTER;Process 0(1);4096_64_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);4096_64_100000;PP0_ENERGY:PACKAGE0;1.69755929e+10;1.69755929e+10
COUNTER;Process 0(1);4096_64_100000;DRAM_ENERGY:PACKAGE0;6.08186845e+09;6.08186845e+09
COUNTER;Process 0(1);4096_128_100000;PAPI_FP_INS;770447.308;770447.308
COUNTER;Process 0(1);4096_128_100000;PAPI_TOT_INS;3.72795867e+09;3.72795867e+09
COUNTER;Process 0(1);4096_128_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);4096_128_100000;PP0_ENERGY:PACKAGE0;1.69020963e+10;1.69020963e+10
COUNTER;Process 0(1);4096_128_100000;DRAM_ENERGY:PACKAGE0;5.92036849e+09;5.92036849e+09
COUNTER;Process 0(1);4096_256_100000;PAPI_FP_INS;498288.928;498288.928
COUNTER;Process 0(1);4096_256_100000;PAPI_TOT_INS;4.17631242e+09;4.17631242e+09
COUNTER;Process 0(1);4096_256_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);4096_256_100000;PP0_ENERGY:PACKAGE0;1.65393614e+10;1.65393614e+10
COUNTER;Process 0(1);4096_256_100000;DRAM_ENERGY:PACKAGE0;6.3387622e+09;6.3387622e+09
COUNTER;Process 0(1);4096_512_100000;PAPI_FP_INS;285602.243;285602.243
COUNTER;Process 0(1);4096_512_100000;PAPI_TOT_INS;4.53608582e+09;4.53608582e+09
COUNTER;Process 0(1);4096_512_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);4096_512_100000;PP0_ENERGY:PACKAGE0;1.62260086e+10;1.62260086e+10
COUNTER;Process 0(1);4096_512_100000;DRAM_ENERGY:PACKAGE0;6.00214155e+09;6.00214155e+09
COUNTER;Process 0(1);4096_1024_100000;PAPI_FP_INS;164588.743;164588.743
COUNTER;Process 0(1);4096_1024_100000;PAPI_TOT_INS;4.74539453e+09;4.74539453e+09
COUNTER;Process 0(1);4096_1024_100000;PAPI_L3_TCM;2.70569439;2.70569439
COUNTER;Process 0(1);4096_1024_100000;PP0_ENERGY:PACKAGE0;1.60409496e+10;1.60409496e+10
COUNTER;Process 0(1);4096_1024_100000;DRAM_ENERGY:PACKAGE0;5.98073812e+09;5.98073812e+09
COUNTER;Process 0(1);4096_2048_100000;PAPI_FP_INS;81898.3174;81898.3174
COUNTER;Process 0(1);4096_2048_100000;PAPI_TOT_INS;4.88349807e+09;4.88349807e+09
COUNTER;Process 0(1);4096_2048_100000;PAPI_L3_TCM;0.672897193;0.672897193
COUNTER;Process 0(1);4096_2048_100000;PP0_ENERGY:PACKAGE0;1.59284918e+10;1.59284918e+10
COUNTER;Process 0(1);4096_2048_100000;DRAM_ENERGY:PACKAGE0;5.58047968e+09;5.58047968e+09
COUNTER;Process 0(1);4096_4096_100000;PAPI_FP_INS;41725.7061;41725.7061
COUNTER;Process 0(1);4096_4096_100000;PAPI_TOT_INS;4.95212327e+09;4.95212327e+09
COUNTER;Process 0(1);4096_4096_100000;PAPI_L3_TCM;1.03230347;1.03230347
COUNTER;Process 0(1);4096_4096_100000;PP0_ENERGY:PACKAGE0;1.58885831e+10;1.58885831e+10
COUNTER;Process 0(1);4096_4096_100000;DRAM_ENERGY:PACKAGE0;5.07752401e+09;5.07752401e+09
COUNTER;Process 0(1);8192_1_100000;PAPI_FP_INS;460103.89;460103.89
COUNTER;Process 0(1);8192_1_100000;PAPI_TOT_INS;3.80483262e+09;3.80483262e+09
COUNTER;Process 0(1);8192_1_100000;PAPI_L3_TCM;85.9498533;85.9498533
