




32 2 218.200000000000 255.200000000000 94.100000000000 71.400000000000 12.400000000000 24.000000000000        1


8192 2 218.200000000000 255.900000000000 93.300000000000 72.300000000000 28.000000000000 23.100000000000        1
8192 128 218.200000000000 255.900000000000 90.800000000000 74.500000000000 9.300000000000 19.000000000000        1
8192 256 218.200000000000 256.400000000000 103.000000000000 77.700000000000 10.100000000000 22.400000000000        1
8192 512 218.200000000000 254.850000000000 96.050000000000 76.100000000000 20.600000000000 20.450000000000 0 .070710678118 12.091525958289 2.262741699796 9.475230867899 3.323401871576  2
8192 1024 218.200000000000 263.820000000000 95.060000000000 75.800000000000 9.700000000000 22.460000000000 0 11.584774490683 9.016263084005 1.560448653432 6.027852022072 3.987856567129  5
8192 4096 218.200000000000 255.300000000000 89.350000000000 75.500000000000 25.800000000000 20.300000000000 0 0 1.909188309203 1.272792206135 3.394112549695 3.818376618407  2
8192 8192 218.200000000000 262.200000000000 88.200000000000 74.750000000000 19.000000000000 21.950000000000 0 8.198373822492 .230940107675 1.212435565298 7.159143337951 .404145188432  4

16384 16 218.200000000000 255.400000000000 91.900000000000 74.300000000000 29.000000000000 18.600000000000        1
16384 128 218.200000000000 255.100000000000 90.400000000000 75.800000000000 7.900000000000 20.600000000000        1
16384 256 218.200000000000 256.700000000000 90.600000000000 71.700000000000 23.600000000000 21.900000000000        1
16384 512 218.200000000000 255.100000000000 96.800000000000 76.300000000000 11.450000000000 21.700000000000 0 0 11.030865786510 .989949493661 5.868986283848 1.131370849898  2
16384 1024 218.200000000000 265.825000000000 88.775000000000 75.150000000000 16.600000000000 23.150000000000 0 12.328118266791 1.297112177107 1.103026140517 9.246981489473 2.783882181415  4
16384 2048 228.100000000000 275.800000000000 88.900000000000 75.600000000000 9.600000000000 21.400000000000        1
16384 4096 228.100000000000 254.800000000000 92.150000000000 73.050000000000 17.950000000000 19.700000000000 0 0 2.757716446627 1.343502884254 5.727564927611 1.414213562373  2
16384 8192 218.200000000000 264.400000000000 90.325000000000 74.825000000000 11.400000000000 20.900000000000 0 10.883933112620 1.144188212955 1.223042653930 4.354308211415 3.163331577098  4
