# 1     2     3     4     5     6     7     8     9     10     11     12     13     14     15     16     17     18     19
# message_size fragment iterations                timer   core_power  core_energy   dram_power  dram_energy    tot_power   tot_energy      totinst    cachemiss     floatinst        bw  bytesperfrag  fragperbyte  byteperwatt Normalized watt Normalized Energy        BW/Watt              0 Ratio BW / Watts
  1024      4     80   0.0005618171950000 17.8693881000 0.0100393295 7.7927982400 0.0043781280 25.6621863400 0.0144174575 761690.960127 0.0000000000 6.0874999893 1822656.9231295955   256.000000 0.0039062500 39.9030693033 0.995845766531 3.449977189575 71025.005390464100 0.288652855311 0.289856988915 
  1024      8     80   0.0010762554312500 17.8486170000 0.0192096710 7.6832311600 0.0082691193 25.5318481600 0.0274787903 1452198.954886 0.0000000000 10.1625000002 951446.9987953428   128.000000 0.0078125000 40.1067714950 0.990787868383 6.575445029539 37265.104853864300 0.150679971307 0.152080961137 
  1024     16     80   0.0021219357125000 17.8073737000 0.0377861022 7.7483666500 0.0164415359 25.5557403500 0.0542276381 2858216.424476 0.0250000000 18.4499999414 482578.2392783023    64.000000 0.0156250000 40.0692754729 0.991715027743 12.976220939515 18883.359772369100 0.076425565838 0.077064039265 
  1024     32     80   0.0042043669125000 17.8713949000 0.0751379014 7.7055785500 0.0323970795 25.5769734500 0.1075349809 5661187.237149 0.1250000003 34.9250000481 243556.2883333389    32.000000 0.0312500000 40.0360113756 0.992538998564 25.732222894178 9522.482744467900 0.038571832781 0.038861780581 
  1024     64     80   0.0083701503875000 17.8466516000 0.1493791578 7.7526518100 0.0648908616 25.5993034100 0.2142700194 11279644.292527 0.3624999998 66.6625000542 122339.4984072500    16.000000 0.0625000000 40.0010884514 0.993405534090 51.273026244480 4779.016696191000 0.019374817654 0.019503432373 
  1024    128     80   0.0167115018750000 17.8249280000 0.2978813177 7.7308244600 0.1291936875 25.5557524600 0.4270750052 22503213.597304 0.3500000000 131.0875000259 61275.1629182939     8.000000 0.1250000000 40.0692564855 0.991715497683 102.195482192303 2397.705292152900 0.009704103120 0.009785168370 
  1024    256     80   0.0334624547500000 17.8024538000 0.5957138047 7.7424579700 0.2590816495 25.5449117700 0.8547954542 45140129.003352 0.6000000005 259.0749998159 30601.4608805709     4.000000 0.2500000000 40.0862609830 0.991294814305 204.545413717737 1197.947409491900 0.004846331170 0.004888889864 
  1024    512     80   0.0667058012500000 17.8185140000 1.1885982535 7.7282991200 0.5155223851 25.5468131200 1.7041206386 89965982.068389 3.4625000000 515.0625006302 15350.9886818127     2.000000 0.5000000000 40.0832775184 0.991368598016 407.781837545673 600.896425307700 0.002431124946 0.002452291661 
  1024   1024     80   0.1333967137500000 17.8463326000 2.3806421213 7.7267910000 1.0307285272 25.5731236000 3.4113706486 179842968.298874 2.7374999942 1027.0624960684 7676.3510225528     1.000000 1.0000000000 40.0420385095 0.992389601440 816.312507546956 300.172600837500 0.001215698145 0.001225021043 

  2048      1     80   0.0002418194087500 18.2784738000 0.0044200897 7.6532334500 0.0018507004 25.9317072500 0.0062707901 334581.650730 0.0125000000 2.8625000109 8469129.9618438919  2048.000000 0.0004882812 78.9766743953 1.000000000000 1.000000000000 326593.612992599700 1.000000000000 1.000000000000 
  2048      2     80   0.0003349165250000 17.2359087000 0.0057725906 7.5549831100 0.0025302887 24.7908918100 0.0083028793 459154.674033 0.0250000000 4.0250000041 6114956.5552192445  1024.000000 0.0009765625 82.6109853447 0.956006928930 1.324056328515 246661.419124608900 0.722028895856 0.755254877351 
  2048      4     80   0.0005967842475000 17.9195787000 0.0106941223 7.8261526100 0.0046705246 25.7457313100 0.0153646469 812323.363984 0.0125000000 6.1500000051 3431725.9689398889   512.000000 0.0019531250 79.5471674640 0.992828241572 2.450193134234 133293.007979422100 0.405204074609 0.408131092209 
  2048      8     80   0.0011157103100000 17.7579919000 0.0198127746 7.5004249000 0.0083683014 25.2584168000 0.0281810760 1505920.273086 0.0000000000 10.2375000085 1835601.9314726956   256.000000 0.0039062500 81.0818831685 0.974036015310 4.494023164688 72672.881519347400 0.216740319223 0.222517767121 
  2048     16     80   0.0021633721875000 17.8270709000 0.0385665894 7.6912084800 0.0166389465 25.5182793800 0.0552055359 2917079.137444 0.0749999999 18.4874999780 946670.2085907259   128.000000 0.0078125000 80.2561947654 0.984057051623 8.803601279980 37097.728827778200 0.111778920958 0.113589878527 
  2048     32     80   0.0042371250750000 17.8262735000 0.0755321504 7.7164987300 0.0326957703 25.5427722300 0.1082279207 5699934.289045 0.1750000001 34.5375000190 483346.6002888762    64.000000 0.0156250000 80.1792374593 0.985001565217 17.259056468913 18923.028242063100 0.057071576710 0.057940594944 
  2048     64     80   0.0084193154625000 17.8332114000 0.1501434325 7.7086484000 0.0649015427 25.5418598000 0.2150449752 11322990.869427 0.2499999995 66.9874999759 243250.1797945310    32.000000 0.0312500000 80.1821016964 0.984966379334 34.293122749914 9523.589186505900 0.028721979812 0.029160365688 
  2048    128     80   0.0167736258750000 17.8358473000 0.2991718298 7.7272539900 0.1296140675 25.5631012900 0.4287858972 22563087.966810 0.3000000007 131.0500003825 122096.4396882376    16.000000 0.0625000000 80.1154749091 0.985785511287 68.378288760219 4776.276489425800 0.014416644949 0.014624525095 
  2048    256     80   0.0334431430000000 17.8127053000 0.5957128506 7.7242527000 0.2583232876 25.5369580000 0.8540361382 45021485.511676 0.5375000002 259.0749995068 61238.2634012598     8.000000 0.1250000000 80.1974925909 0.984777352058 136.192748044008 2398.024987990300 0.007230762035 0.007342534858 
  2048    512     80   0.0669107758750000 17.8604153000 1.1950542452 7.7284779300 0.5171184546 25.5888932300 1.7121726998 90215809.817987 1.1374999979 515.0250004566 30607.9248554222     4.000000 0.2500000000 80.0347237214 0.986780121466 273.039388718546 1196.141020258600 0.003614057759 0.003662475236 
  2048   1024     80   0.1335447600000000 17.8301019000 2.3811166790 7.7333217700 1.0327445998 25.5634236700 3.4138612788 180044182.732850 2.7625000011 1027.0750010614 15335.6822087216     2.000000 0.5000000000 80.1144645739 0.985797943172 544.406879538612 599.907211439700 0.001810774220 0.001836861430 
  2048   2048     80   0.2668604362500000 17.8589594000 4.7658496965 7.7350279700 2.0641729385 25.5939873700 6.8300226349 359785747.425018 5.5500000079 2051.0875037037 7674.4234880939     1.000000 1.0000000000 80.0187938828 0.986976565918 1089.180551349976 299.852593390300 0.000906164331 0.000918121424 

  4096      1     80   0.0003222328637500 17.8302927000 0.0057455063 7.8636071800 0.0025339127 25.6938998800 0.0082794189 456664.699162 0.0125000000 2.9749999984 12711304.3416261417  4096.000000 0.0002441406 159.4152705167 1.000000000000 1.000000000000 494720.708066608200 1.000000000000 1.000000000000 
