#1.Msg_size 2.Frags   3.Timer_active 4.Timer_passive 5.Timer_tot   6.Power_cpu_active 7.Power_cpu_passive 8.Power_cpu_tot   9.Energy_cpu_active 10.Energy_cpu_passive 11.Energy_cpu_tot   12.Power_dram_active 13.Power_dram_passive 14.Power_dram_tot   15.Energy_dram_active 16.Energy_dram_passive 17.Energy_dram_tot   18.Power_blade_active 19.Power_blade_passive 20.Power_blade_tot   21.Energy_blade_active 22.Energy_blade_passive 23.Energy_blade_tot   24.Edprod_impact 25.Edprod_ini 26.Edprod_final   27.Msg_rate_impact 28.Msg_rate_ini 29.Msg_rate_final   30.Bw_impact 31.Bw_ini 32.Bw_final
524288 1024 5.256523536015 3.974649417758 5.256523536015 1.164579752844 -.067695990909 .545354770421 6.359886883130 3.909644110784 5.219869190377 10.833704859542 12.865313306701 11.905200588736 15.520752153386 16.328611620664 15.916722281038 .397764318490 -.136270351621 .130872779214 5.633379282006 3.843795339448 4.805623796941 11.405609579588 .000642340258 .000569077436 -5.548164087068 279770.448030463544 295292.571554321242 -5.548164087068 143242469.391597334529 151189796.635812476344
524288 2048 3.386990858474 2.529547731347 3.386990858474 .366895156757 .933122384947 .651857636534 3.741459306580 3.439066336850 3.598867112368 10.238084399344 15.641230189992 13.187351664164 13.278312273180 17.775125536049 15.590653836240 .354021372098 -.157338758556 .098855717758 3.729021556105 2.376188928326 3.096855381690 8.235382748153 .001607772001 .001475365823 -3.505729599533 356350.714932328019 368843.407423858906 -3.505729599533 91225783.022675973022 94423912.300507880100
524288 4096 3.234746441534 1.703181354566 3.234746441534 1.351864255413 2.541780829391 1.953485034961 4.542881322717 4.201671050339 4.381086679572 3.425871234512 3.963849690800 3.723871421040 6.549799434145 5.599519501066 6.053109766727 .184403344864 -.057562652366 .063658327403 3.413184812776 1.646599101853 2.587097177645 7.653781388799 .003013050351 .002782438064 -3.342880137838 521481.642784686382 538914.149043808006 -3.342880137838 66749650.276439856919 68981011.077607424860
524288 8192 2.198753525979 .978866769636 2.198753525979 .569580609524 -.098782040501 .234484312483 2.755810457592 .881051676816 1.870281595927 3.300629465612 1.419423896606 2.339266469277 5.426810281650 2.384396398848 3.960394889210 .205622153303 .117101945724 .161478479769 2.399854550814 1.094822446481 1.786923277796 4.273980158938 .009374474918 .008973811720 -2.248185585818 592969.865036645087 606300.928070647889 -2.248185585818 37950071.362345285595 38803259.396521464919
524288 16384 1.833755223385 .725132065721 1.833755223385 1.473498128865 .370669568214 .921032838566 3.280233001463 1.093113788440 2.245053554081 14.439207330925 5.294454823356 9.588438268149 16.008182834023 5.981195096807 10.966518745718 .223279847701 -.035283780444 .094618043694 2.052940663351 .690104137670 1.412452276233 5.062664532990 .032870217198 .031206108370 -1.868009953480 635247.293919526672 647113.776599158266 -1.868009953480 20327913.405424853520 20707640.851173064523
524288 32768 1.168852292797 .271922010387 1.168852292797 .955273714444 .457346312794 .706745929891 2.112960267990 .728024696601 1.456470073118 -1.415089345280 -17.701010971394 -9.281105855415 -.229696748848 -17.380956017908 -8.084322077326 .191938318745 -.053736545249 .069774895662 1.358547135537 .218331585324 .820183486186 1.617880819258 .117776643268 .115871157547 -1.182676028674 667387.817860544620 675280.853600676029 -1.182676028674 10678205.085768713931 10804493.657610816475
524288 65536 1.044691467135 -.141069964657 1.044691467135 -1.733992318316 -.811255409018 -1.273238659620 -.671185981181 -.953469811653 -.804786113376 21.274686887105 19.576976268244 20.452409454868 22.097123516030 19.463523536995 20.889986096340 .202359547660 .077811079639 .140388540307 1.244936982080 -.063149117212 .628148203225 2.981400288836 .465104881955 .451238243661 -1.055720489000 676756.735268082639 683901.394783000132 -1.055720489000 5414053.882144661115 5471211.158264001062
524288 131072 1.010213269797 -.123332001434 1.010213269797 1.567821300171 .593778956119 1.081217778308 2.562196231333 .471179274270 1.575865117438 -.793961738072 32.449021779900 17.705131446671 .224272238797 32.365709806493 17.220313977842 -.031831383831 .009478490694 -.011233292189 .978703451013 -.113841820608 .464382216424 4.255647026873 1.840539888092 1.762213007066 -1.020522725795 676509.130949646271 683413.060373066460 -1.020522725795 2706036.523798585087 2733652.241492265842
524288 262144 1.741314814440 .465995204710 1.741314814440 2.180169972464 1.722087167173 1.951452208172 3.883521164363 2.180057528443 3.079615713893 -2.072701710056 18.492351629077 8.087506629242 -.295294633485 18.872173362112 8.650204669992 .140987843896 -.137927434233 .001917943526 1.879847616299 .328710505890 1.148885746270 5.383945735995 7.440217629663 7.039640349842 -1.772173941827 676154.517434142107 688137.151598599590 -1.772173941827 1352309.034868284214 1376274.303197199181
524288 524288 1.309532229470 1.294507157118 1.309532229470 1.402151245748 .806340111826 1.105396970558 2.693321852789 2.090409138589 2.407293157841 13.655542769466 9.605462822449 11.803483450138 14.786251265304 10.775626575939 13.046057810046 .013427269413 -.409252129627 -.197310747939 1.322783664509 .890552825706 1.117509042374 4.806444896892 29.225421934063 27.820718132918 -1.326908524251 682034.239635962002 691084.210100004233 -1.326908524251 682034.239635962002 691084.210100004233
