#1.Msg_size 2.Frags   3.Timer_active 4.Timer_passive 5.Timer_tot   6.Power_cpu_active 7.Power_cpu_passive 8.Power_cpu_tot   9.Energy_cpu_active 10.Energy_cpu_passive 11.Energy_cpu_tot   12.Power_dram_active 13.Power_dram_passive 14.Power_dram_tot   15.Energy_dram_active 16.Energy_dram_passive 17.Energy_dram_tot   18.Power_blade_active 19.Power_blade_passive 20.Power_blade_tot   21.Energy_blade_active 22.Energy_blade_passive 23.Energy_blade_tot   24.Edprod_impact 25.Edprod_ini 26.Edprod_final   27.Msg_rate_impact 28.Msg_rate_ini 29.Msg_rate_final   30.Bw_impact 31.Bw_ini 32.Bw_final
524288 1024 2.292978050827 6.197649767538 2.292978050827 2.301236673894 .306979916836 1.283666213084 4.541447816406 6.485604166020 5.421634569954 -37.365431433408 -9.757011758089 -23.596234444532 -34.215672323736 -2.954656548239 -20.418804014311 -.588209056746 .943717727116 .186282752822 1.718256441743 7.082879194456 4.122122935956 4.634016765338 .000102838126 .000098072590 -2.346789417060 688235.913431130119 704387.361011940272 -2.346789417060 352376787.676738621312 360646328.838113419465
524288 2048 21.055067816097 21.444433971403 21.055067816097 .713157049048 -1.157470700241 -.231430640123 21.618069161262 20.535176310535 21.143070680085 -55.089888029952 -27.326829268273 -42.612712840827 -22.435606941487 -.022311462846 -13.812698507604 -.059738150085 .472324056207 .207894049807 21.007907570275 21.815470804876 21.360586801947 34.779087744016 .000154292526 .000100630993 -26.670575594452 1103558.319534476208 1397883.675374787117 -26.670575594452 282510929.800825909404 357858220.895945502150
524288 4096 45.557837904333 41.674045269593 45.557837904333 1.670298198905 1.120443673822 1.390955519473 46.467184347033 42.327554750550 44.716451225678 -41.526418786692 -28.689104736094 -35.707735441124 22.949957659835 24.940851036048 23.687424853144 1.226278370248 .594343480205 .910348297959 46.225450352805 42.020701788993 44.480299545186 68.658059966099 .000329571746 .000103294179 -83.681169429456 1492437.994673168884 2741327.561625207556 -83.681169429456 191032063.318165617249 350889927.888026567211
524288 8192 62.981346890513 59.392045513860 62.981346890513 3.496182644156 .845583841282 2.163105914974 64.275586623400 59.735419825099 62.401844726893 -13.908542472891 26.269772614916 7.566154916373 57.832591807420 70.059662824318 63.257077704537 .929043401968 .804436273606 .866602332050 63.325266252591 59.718710639979 61.843225912407 86.122951749464 .000778209732 .000107992540 -170.134085387279 1969412.501976970290 5320054.449718219731 -170.134085387279 126042400.126526098607 340483484.781966062801
524288 16384 77.509505830297 74.812499696010 77.509505830297 3.720255628661 .073418298978 1.894267913048 78.346209709298 74.830991928388 76.925367397790 -14.715920606406 2.766076005789 -7.046025419397 74.199822567901 75.509205095932 74.652730176186 1.156859558533 .973843211924 1.065260871582 77.769689265911 75.057786456199 76.674093145701 94.747576760892 .002101181321 .000110362936 -344.632293294438 2378014.227375804288 10573419.194049059742 -344.632293294438 76096455.276025737220 338349414.209569911750
524288 32768 86.971311838830 85.506073810759 86.971311838830 2.298741797253 .528598360517 1.411213285733 87.270807742409 85.582688469773 86.589709616724 -51.316023381756 5.430671713889 -21.977461075633 80.285507180153 86.293191363712 82.800307720408 .904259603320 .919968847905 .912117676757 87.089125005930 85.639413419471 86.505845906600 98.196816507758 .007054025924 .000127197031 -667.536982718147 2570763.191395064875 19731558.232062426425 -667.536982718147 41132211.062321038002 315704931.712998822807
524288 65536 91.910475373049 90.947560324036 91.910475373049 3.528826439835 -.649022857164 1.438037823857 92.195940656070 90.888807923255 91.674868045308 -49.175499899723 7.850255276860 -20.467036262859 87.932411197358 91.658199948434 89.428324194629 1.143626470712 1.065823888404 1.104738767580 92.002989317087 91.044043390460 91.621287859921 99.304499100100 .023126853901 .000160847477 -1136.166580998472 2843251.046583937773 35147319.251759952832 -1136.166580998472 22746008.372671502188 281178554.014079622658
524288 131072 94.835549327773 94.313682390329 94.835549327773 .666833993951 .830796595069 .748535091673 94.869987640800 94.360924125130 94.668620424610 -61.283628010539 4.149673483025 -25.667877662061 91.670586589843 94.549646006019 92.938582788389 1.045977855962 .718394148790 .882703180392 94.889568338518 94.354532565007 94.677860815952 99.714802930574 .090710724525 .000258704328 -1836.314360359286 2865941.648098803339 55493639.691654742776 -1836.314360359286 11463766.592395213358 221974558.766618971104
524288 262144 96.279901572573 95.978741963601 96.279901572573 3.622338472355 .087481247781 1.857615971700 96.414656129439 95.982259810972 96.243656209118 -63.254285241833 -23.572574623001 -44.902578027170 93.926779902384 95.030827912688 94.325168496205 .938170024271 .603117777366 .771330782949 96.314802421218 96.002994886361 96.191874604390 99.853355760549 .345912437408 .000507260663 -2588.100918586915 2916019.430249362655 78385545.090706065784 -2588.100918586915 5832038.860498725310 156771090.181412131568
524288 524288 97.124426328474 96.948705101984 97.124426328474 3.587075509673 .069131379423 1.843649336253 97.227575327172 96.950814504083 97.119175945187 -22.920438811374 -14.202890239125 -18.979610832529 96.465332224333 96.515333036547 96.482878738935 .982268857522 .746640187729 .864970044548 97.152672192870 96.971487295798 97.081321529912 99.915095343102 1.367894226810 .001161405900 -3377.566963080558 2954192.652588127095 102734027.712157928348 -3377.566963080558 2954192.652588127095 102734027.712157928348
